record_date,forecast_timestamp,forecast_date,day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction
2021-07-08,2021-07-12T00:00:00+08:00,12/07/2021,Monday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NW
2021-07-09,2021-07-10T00:00:00+08:00,10/07/2021,Saturday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,5,15,E
2021-07-09,2021-07-11T00:00:00+08:00,11/07/2021,Sunday,24,31,70,95,Afternoon and evening thundery showers.,Thundery Showers,10,20,NE
2021-07-09,2021-07-12T00:00:00+08:00,12/07/2021,Monday,23,31,70,95,Afternoon and evening thundery showers.,Thundery Showers,10,25,NW
2021-07-09,2021-07-13T00:00:00+08:00,13/07/2021,Tuesday,23,33,60,95,Afternoon thundery showers.,Thundery Showers,10,25,W
2021-07-10,2021-07-11T00:00:00+08:00,11/07/2021,Sunday,24,32,70,95,Afternoon thundery showers.,Thundery Showers,10,20,NNE
2021-07-10,2021-07-12T00:00:00+08:00,12/07/2021,Monday,24,32,70,95,Afternoon and evening thundery showers.,Thundery Showers,5,15,WNW
2021-07-10,2021-07-13T00:00:00+08:00,13/07/2021,Tuesday,24,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,SW
2021-07-10,2021-07-14T00:00:00+08:00,14/07/2021,Wednesday,25,34,55,90,Afternoon showers.,Thundery Showers,10,25,S
2021-07-11,2021-07-12T00:00:00+08:00,12/07/2021,Monday,23,32,70,95,Late morning and afternoon thundery showers.,Thundery Showers,10,25,NW
2021-07-11,2021-07-13T00:00:00+08:00,13/07/2021,Tuesday,23,34,70,95,Afternoon thundery showers.,Thundery Showers,10,25,SW
2021-07-11,2021-07-14T00:00:00+08:00,14/07/2021,Wednesday,24,34,60,95,Afternoon showers.,Showers,10,25,S
2021-07-11,2021-07-15T00:00:00+08:00,15/07/2021,Thursday,25,34,60,90,Partly cloudy.,Partly Cloudy (Day),10,20,SSE
2021-07-12,2021-07-13T00:00:00+08:00,13/07/2021,Tuesday,24,32,60,90,Morning thundery showers.,Thundery Showers,15,30,SW
2021-07-12,2021-07-14T00:00:00+08:00,14/07/2021,Wednesday,26,34,50,85,Partly cloudy.,Partly Cloudy (Day),10,25,S
2021-07-12,2021-07-15T00:00:00+08:00,15/07/2021,Thursday,26,34,50,85,Partly cloudy.,Partly Cloudy (Day),10,25,S
2021-07-12,2021-07-16T00:00:00+08:00,16/07/2021,Friday,26,34,50,85,Partly cloudy.,Partly Cloudy (Day),10,25,S
2021-07-13,2021-07-14T00:00:00+08:00,14/07/2021,Wednesday,26,34,50,85,Fair and warm.,Fair & Warm,10,25,S
2021-07-13,2021-07-15T00:00:00+08:00,15/07/2021,Thursday,26,34,50,85,Fair and warm.,Fair & Warm,10,25,S
